regiao	cidade	hospital	Bronze SP Enf	Bronze SP Mais Enf	Prata Enf	Prata Quarto	Ouro Enf	Ouro Quarto	Ouro II Quarto	Platinum R1 Quarto	Platinum R2 Quarto	S380 Enf	S380 Quarto	S450 Enf	S450 Quarto	S750 R1 Quarto	S750 R2 Quarto	S750 R3 Quarto	Black I R1 Quarto	Black I R2 Quarto	Black I R3 Quarto	S2500 R1 Quarto	S2500 R2 Quarto	Black II R1 Quarto	Black II R2 Quarto	Black II R3 Quarto	S6500 Black R1 Quarto	S6500 Black R2 Quarto	S6500 Black R3 Quarto
São Paulo - Centro	Bela Vista	Paulistano - SP	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Centro	Bela Vista	Samaritano - Paulista	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Centro	Bela Vista	Hospital BP	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	-	H¹,M,PS¹	H¹,M,PS¹	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
São Paulo - Centro	Liberdade	Leforte	-	-	-	-	H¹,PS¹	H¹,PS¹	-	H¹,PS¹	H¹,PS¹	-	-	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Centro	Jardim Paulista	H Nove de Julho	-	-	-	-	-	-	PA,PS	H,PS	H,PS	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Oswaldo Cruz - Paulista	-	-	-	-	-	-	H¹,PS	H¹,PS	H¹,PS	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS
São Paulo - Centro	Santa Cecília	Samaritano - Higienópolis	-	-	-	-	-	-	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	-	-	-	-	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹	H¹,M,PA,PS¹
São Paulo - Centro	Bela Vista	Sta Catarina	-	-	-	-	-	H¹,PS¹	-	H¹,PS¹	H¹,PS¹	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Centro	Liberdade	A C Camargo - Antônio Prudente	-	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	-	-	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS
São Paulo - Centro	Consolação	H Infantil Sabará	-	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Centro	B Vista	Pro Matre	-	-	-	-	-	-	-	M,PS¹	M,PS¹	-	-	-	-	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹	M,PS¹
São Paulo - Centro	Bela Vista	Sírio Libanês	-	-	-	-	-	-	-	H,PS	H,PS	-	-	-	-	-	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS
São Paulo - Centro	Bela Vista	BP Mirante	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M
São Paulo - Centro	Liberdade	H Adventista - Aclimação	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Centro	Bela Vista	H Igesp Paulista	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS
