regiao	cidade	hospital	Efetivo Enf	Efetivo Quarto	Efetivo Plus Enf	Efetivo Plus Quarto	Saúde + Enf	Saúde + Quarto	Nacional II Enf	Nacional III Quarto	Nacional III 2 Quarto	Nacional III 3 Quarto	Nacional Plus 4 Quarto	Nacional Plus 6 Quarto	Nacional Plus 8 Quarto	Premium 6 Quarto	Premium 8 Quarto	Premium 10 Quarto
São Paulo - Centro	Bela Vista	Hospital BP	H,PS	H,PS	H	H	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Liberdade	Leforte	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Paulistano - SP	H	H	H,PS	H,PS	-	-	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Liberdade	A C Camargo - Antônio Prudente	H	H	-	H	-	-	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Cambuci	H Cruz Azul de São Paulo	H,PS	H,PS	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	H Igesp Paulista	-	-	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Liberdade	H Saha	H	H	-	-	-	-	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Bela Vista	Samaritano - Paulista	-	-	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Sta Catarina	-	-	-	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Aclimação	A C Camargo - Pires da Mota	-	-	-	-	-	-	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Liberdade	H Adventista - Aclimação	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Jardim Paulista	H Nove de Julho	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
