regiao	cidade	hospital	Prata Pró ABCDM Enf	Prata Pró ABCDM Quarto	Prata Pró Enf	Prata Pró Quarto	Ouro Pró Quarto	Diamante Pró Quarto	P220 Enf	P220 Quarto	P320 Enf	P320 Quarto	P420 Quarto	P470 Quarto	P520 Quarto	Bronze Brasil I Enf	Bronze Brasil I Quarto	Prata Mais I Enf	Prata Mais I Quarto	Ouro Mais I Quarto	Ouro Max I Quarto	Diamante Mais I Quarto
São Paulo - Centro	Liberdade	Leforte	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Hospital BP	-	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Sta Catarina	-	-	H,PS	H,PS	H,PS	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Cambuci	H Cruz Azul de São Paulo	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Centro	Bela Vista	H Igesp Paulista	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Liberdade	H Saha	-	-	-	-	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Bela Vista	Paulistano - SP	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H	H	H	H	H	H	H
São Paulo - Centro	Bela Vista	Samaritano - Paulista	-	-	-	-	H,PS	H,PS	-	-	-	-	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Oswaldo Cruz - Paulista	-	-	-	H,PS	H,PS	H,PS	-	-	-	-	H,PS	H,PS	H,PS	-	-	-	-	H,PS	H,PS	H,PS
São Paulo - Centro	Liberdade	A C Camargo - Antônio Prudente	-	-	-	-	-	-	-	-	-	-	H¹	H¹	H¹	-	-	H¹	H¹	H¹	H¹	H¹
São Paulo - Centro	Santa Cecília	Samaritano - Higienópolis	-	-	-	-	M,PS¹	H,M,PS	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	-	-	-	-	H,M,PS	H,M,PS	H,M,PS
São Paulo - Centro	Consolação	H Infantil Sabará	-	-	-	-	-	H¹,PSP	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	-	-	-	-	H¹,PSP	H¹,PSP	H¹,PSP
