regiao	cidade	hospital	Direto Nacional Enf	Direto Nacional Quarto	Clássico Vital Enf	Clássico 100 Enf	Especial RC Quarto	Especial 100 RC Quarto	Especial 100 R1 Quarto	Especial Vital Quarto	Especial Vital R1 Quarto	Especial Mais Quarto	Especial Mais Vital Quarto	Executivo R1 Quarto	Executivo R2 Quarto	Executivo R3 Quarto	Prestige Quarto
São Paulo - Centro	Bela Vista	Hospital BP	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Liberdade	A C Camargo - Antônio Prudente	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Centro	Aclimação	A C Camargo - Pires da Mota	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Centro	Jardim Paulista	Dayclinic Assistência Médica	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Bela Vista	H Igesp Paulista	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Centro	Vila Norma	H Indepêndencia	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
São Paulo - Centro	Liberdade	H Saha	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Centro	Bela Vista	Sta Catarina	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	BP Mirante	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Consolação	H Infantil Sabará	-	-	-	-	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP
São Paulo - Centro	Liberdade	Leforte	H,PS	H,PS	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	-	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Bela Vista	Oswaldo Cruz - Paulista	-	-	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Centro	Bela Vista	Paulistano - SP	-	-	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Centro	B Vista	Pro Matre	-	-	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
São Paulo - Centro	Jardim Paulista	H Nove de Julho	-	-	-	-	H,PS	H,PS	H,PS	-	-	H,PS	-	H,PS	H,PS	H,PS	H,PS
São Paulo - Centro	Santa Cecília	Samaritano - Higienópolis	-	-	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	-	-	H,M,PS¹	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
São Paulo - Centro	Bela Vista	Sírio Libanês	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Lapa	Albert Sabin	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Oeste	Cerqueira César	Clínicas FMUSP - Instituto Central	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹
São Paulo - Zona Oeste	Higienópolis	Sta Isabel	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Oeste	Cerqueira César	Clínicas FMUSP - Incor	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Oeste	Vila Jaguara	Saint Patrick - Jaguara/Oeste	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Oeste	Vila Jaguara	Saint Patrick Portinari - Jaguara	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Oeste	Vila Pompéia	São Camilo Pompéia	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Cidade Jardim	H e Mat São Luíz - Morumbi	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Vila Progredior	Leforte - Morumbi	H,PS	H,PS	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	-	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Vila Romana	Metropolitano	-	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	-	-	H,M,PS¹	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
São Paulo - Zona Oeste	Perdizes	CM Albert Einstein	-	-	-	-	-	-	-	-	-	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS
São Paulo - Zona Sul	Vila Olímpia	Blanc	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Vila Mariana	Clín Maia (Psiquiatria)	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Vila Clementino	Cto de Tratamento Bezerra de Menezes - SP	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Ipiranga	Dom Alvarenga	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Sul	Vila Clementino	GRAACC	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Capão Redondo	H Central Sul	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Sul	Vila Parque Jabaquara	H da Criança - Jabaquara	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP
São Paulo - Zona Sul	Vila Parque Jabaquara	H e Mat São Luíz - Jabaquara	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Sul	Vila Mariana	H e Mat Sepaco	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Sul	Paraíso	H e Mat Sta Maria	PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹
São Paulo - Zona Sul	Vila Clementino	Rim e Hipertensão	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Indianópolis	Ruben Berta	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹
São Paulo - Zona Sul	Chácara Santo Antônio (Zona Sul)	Sta Isabella	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP
São Paulo - Zona Sul	Vila Mariana	Sta Rita	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Sul	Vila Clementino	AACD	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Capão Redondo	Clinisul	-	-	PSA	PSA	PSA	PSA	PSA	PSA	PSA	PSA	PSA	PSA	PSA	PSA	PSA
São Paulo - Zona Sul	Paraíso	H de Olhos Paulista	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Sul	Vila Mariana	H e Mat São Rafael	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Jardim Campo Grande	H e Mat Vida's	-	-	M	M	M	M	M	M	M	M	M	M	M	M	M
São Paulo - Zona Sul	Vila Clementino	H Paulista Otorrinolaringologia	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Vila Mariana	H Sta Cruz	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Vila Clementino	Hospital São Paulo	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Aclimação	Inst a Casa	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Paraíso	Santa Joana	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
São Paulo - Zona Sul	Vila Monumento	São Camilo Ipiranga	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
São Paulo - Zona Sul	Vila Clementino	Edmundo Vasconcelos	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Nova Conceição	H e Mat São Luíz - Itaim	-	-	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
